emp_no,first_name,last_name,dept_name
10001,Georgi,Facello,Sales
10004,Chirstian,Koblick,Sales
10009,Sumant,Peac,Sales
10018,Kazuhide,Peha,Sales
10018,Kazuhide,Peha,Sales
10035,Alain,Chappelet,Sales
10053,Sanjiv,Zschoche,Sales
10058,Berhard,McFarlin,Sales
10066,Kwee,Schusler,Sales
10067,Claudi,Stavenow,Sales
10070,Reuven,Garigliano,Sales
10070,Reuven,Garigliano,Sales
10072,Hironoby,Sidou,Sales
10076,Erez,Ritzmann,Sales
10088,Jungsoon,Syrzycki,Sales
10088,Jungsoon,Syrzycki,Sales
10100,Hironobu,Haraldson,Sales
10103,Akemi,Birch,Sales
10126,Kayoko,Valtorta,Sales
10129,Armond,Peir,Sales
10130,Nishit,Casperson,Sales
10134,Diederik,Siprelle,Sales
10134,Diederik,Siprelle,Sales
10138,Perry,Shimshoni,Sales
10150,Zhenbing,Perng,Sales
10153,Heekeun,Majewski,Sales
10157,Nigel,Aloisi,Sales
10198,Pranav,Furedi,Sales
10215,Xiaobin,Duclos,Sales
10224,Leon,Trogemann,Sales
10233,Lein,Vendrig,Sales
10258,Basil,Ishibashi,Sales
10272,Yishai,Cannane,Sales
10282,Hercules,Benzmuller,Sales
10283,Kauko,Birjandi,Sales
10326,Masali,Czap,Sales
10340,Djelloul,Laventhal,Sales
10347,Pradeep,Kaminger,Sales
10355,Satyanarayana,Cochrane,Sales
10356,Vasilis,Standera,Sales
10364,Nakhoon,Dengi,Sales
10372,Anneli,Frijda,Sales
10387,Parto,Wrigley,Sales
10396,Sibyl,Rahier,Sales
10402,Volkmar,Ebeling,Sales
10404,Prodip,Rosti,Sales
10426,Arunas,Luce,Sales
10429,Martien,Improta,Sales
10432,Hisao,Tiemann,Sales
10451,Bodh,Ranta,Sales
10453,Tsvetan,Matzel,Sales
10463,Ung,Zaiane,Sales
10486,Amstein,Kossowski,Sales
10494,Yakkov,Servieres,Sales
10504,Xiong,Varker,Sales
10512,Udi,Gihr,Sales
10522,Marke,Cesareni,Sales
10548,Ramalingam,Gunderson,Sales
10548,Ramalingam,Gunderson,Sales
10564,Jianhao,Thisen,Sales
10623,Aleksander,Danlos,Sales
10623,Aleksander,Danlos,Sales
10628,Krisda,Krogh,Sales
10631,Inderjeet,Chaudhuri,Sales
10642,Hirochika,Narlikar,Sales
10653,Otmar,Feinberg,Sales
10671,Parviz,Rebaine,Sales
10676,Valeri,Danley,Sales
10693,Berhard,Daescu,Sales
10702,Bader,Szemeredi,Sales
10718,Adib,Rullman,Sales
10726,Zita,Minakawa,Sales
10734,Sachar,Erdi,Sales
10745,Poorav,Ranze,Sales
10749,King,Brendel,Sales
10767,Monique,Doering,Sales
10768,Ishfaq,Candan,Sales
10778,Selwyn,Merey,Sales
